name,type,abv,brewery,address,city,state,website
Goose IPA,IPA,5.9,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
312 Urban Wheat Ale,Wheat Ale,4.2,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Bourbon County Stout,Imperial Stout,14.7,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Matilda,Belgian Style Ale,7.0,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
Sofie,Saison,6.5,Goose Island Beer Co,1800 W Fulton St,Chicago,IL,https://www.gooseisland.com
