name,type,abv,brewery,address,city,state,website
Anti-Hero IPA,IPA,6.7,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Fist City,Pale Ale,5.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Rev Pils,Pilsner,5.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Freedom of Speech,Session IPA,4.5,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
Cross of Gold,Golden Ale,5.0,Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,https://revbrew.com
